,precision,recall,f1-score,support
anxiety,0.25376640207354606,0.20886666666666667,0.22913771666788563,15000.0
bipolar,0.33856893542757416,0.3233333333333333,0.3307757885763001,15000.0
borderline,0.34525636277051697,0.435,0.3849671081742824,15000.0
control,0.5644533931268018,0.61675,0.5894440064033641,20000.0
depression,0.35469531394702725,0.1915,0.248717449185012,20000.0
panic,0.3657400217425066,0.471,0.4117492787831104,15000.0
ptsd,0.357118314053373,0.41573333333333334,0.38420306820282174,15000.0
accuracy,0.38238260869565216,0.38238260869565216,0.38238260869565216,0.38238260869565216
macro avg,0.36851410616304936,0.3803119047619048,0.3684277737132538,115000.0
weighted avg,0.37643238854338545,0.38238260869565216,0.37283237841594374,115000.0
